id,title,release date,genre,vote average,popularity,poster,original language,adult
423108,The Conjuring: The Devil Made Me Do It,2021-05-25,27 9648 53,7.8,316.917,/xbSuFiJbbBWCkyCCKIMfuDCA4yV.jpg,en,0
597316,My Little Pony: A New Generation,2021-09-23,16 10751 14 35 10402 12,8.1,316.72,/hzq5XRGgm6NDMOW1idUvbpGqEkv.jpg,en,0
843906,Straight Outta Nowhere: Scooby-Doo! Meets Courage the Cowardly Dog,2021-09-14,16 35 9648 10751 14,8.3,316.039,/uIdMpWrQ30SHPINsy7LcPFloyvO.jpg,en,0
602223,The Forever Purge,2021-06-30,27 28 53,7.4,305.087,/lB068qa6bQ0QKYKyC2xnYGvYjl7.jpg,en,0
854442,Next-Door Nightmare,2021-07-08,53 10770,6.0,304.962,/lkCi5Cm71QqHEwuIppWoI7paiZn.jpg,en,0
453354,Ava,2017-06-21,18,6.0,304.294,/cUI1PFsrQVJR3IZOpkfsOOOUhTO.jpg,fr,0
595743,SAS: Red Notice,2021-08-11,18 28 53,6.0,304.289,/6Y9fl8tD1xtyUrOHV2MkCYTpzgi.jpg,en,0
537915,After,2019-04-11,10749 18,7.2,303.671,/u3B2YKUjWABcxXZ6Nm9h10hLUbh.jpg,en,0
882206,LOL Surprise: The Movie,2021-10-08,16 10751,7.4,431.214,/vbc8H3SR3BM6TZkJw6UBN4ekdjK.jpg,en,0
631843,Old,2021-07-21,53 27,6.7,430.639,/vclShucpUmPhdAOmKgf3B3Z4POD.jpg,en,0
588228,The Tomorrow War,2021-07-02,28 878 12,8.1,416.22,/34nDCQZwaEvsy4CFO5hkGRFDCVU.jpg,en,0
874948,Grudge,2021-10-08,80 18 53,6.6,415.563,/xSqtHT2DWbWBZ4dUvvMs6z1OfFK.jpg,tr,0
637649,Wrath of Man,2021-04-22,28 80 53,7.8,414.474,/M7SUK85sKjaStg4TKhlAVyGlz3.jpg,en,0
637534,The Stronghold,2021-08-18,53,7.7,412.316,/nLanxl7Xhfbd5s8FxPy8jWZw4rv.jpg,fr,0
